N,GPU_SIEVE,CPU_SIEVE,CPU_CLASSIC
5260,0.000012,0.000069,0.004590
5270,0.000014,0.000064,0.004824
5280,0.000063,0.000099,0.004484
5290,0.000013,0.000091,0.004519
5300,0.000011,0.000070,0.004481
5310,0.000031,0.000084,0.005772
5320,0.000028,0.000065,0.004469
5330,0.000015,0.000071,0.004377
5340,0.000044,0.000087,0.004874
5350,0.000035,0.000070,0.004928
5360,0.000033,0.000069,0.004608
5370,0.000012,0.000072,0.004714
5380,0.000012,0.000071,0.004452
5390,0.000029,0.000068,0.004548
5400,0.000013,0.000076,0.004839
5410,0.000032,0.000073,0.005341
5420,0.000016,0.000104,0.005236
5430,0.000013,0.000105,0.005841
5440,0.000013,0.000072,0.004818
5450,0.000029,0.000072,0.004866
5460,0.000013,0.000073,0.005067
5470,0.000031,0.000073,0.004781
5480,0.000012,0.000075,0.004910
5490,0.000034,0.000085,0.004908
5500,0.000012,0.000079,0.004628
5510,0.000018,0.000076,0.004748
5520,0.000019,0.000077,0.004976
5530,0.000033,0.000076,0.005135
5540,0.000015,0.000073,0.004830
5550,0.000013,0.000095,0.004923
5560,0.000011,0.000076,0.005626
5570,0.000011,0.000074,0.004781
5580,0.000011,0.000074,0.005208
5590,0.000013,0.000073,0.007260
5600,0.000016,0.000094,0.005206
5610,0.000013,0.000097,0.008722
5620,0.000016,0.000098,0.005394
5630,0.000018,0.000079,0.004878
5640,0.000012,0.000076,0.004903
5650,0.000014,0.000112,0.005455
5660,0.000012,0.000076,0.005404
5670,0.000027,0.000076,0.004906
5680,0.000012,0.000076,0.005873
5690,0.000011,0.000074,0.005861
5700,0.000057,0.000087,0.005017
5710,0.000012,0.000075,0.005663
5720,0.000012,0.000076,0.005186
5730,0.000029,0.000077,0.004996
5740,0.000016,0.000077,0.005538
5750,0.000012,0.000071,0.005335
5760,0.000014,0.000084,0.005060
5770,0.000030,0.000078,0.005073
5780,0.000014,0.000091,0.005547
5790,0.000012,0.000076,0.005497
5800,0.000032,0.000076,0.005138
5810,0.000037,0.000077,0.005086
5820,0.000017,0.000122,0.005301
5830,0.000012,0.000077,0.005511
5840,0.000011,0.000127,0.006504
5850,0.000013,0.000115,0.005744
5860,0.000011,0.000081,0.004998
5870,0.000022,0.000131,0.005411
5880,0.000016,0.000083,0.006067
5890,0.000012,0.000080,0.005312
5900,0.000011,0.000080,0.005419
5910,0.000014,0.000078,0.005555
5920,0.000015,0.000078,0.005055
5930,0.000012,0.000074,0.005773
5940,0.000014,0.000082,0.005366
5950,0.000013,0.000080,0.005369
5960,0.000015,0.000150,0.005307
5970,0.000012,0.000074,0.005231
5980,0.000038,0.000105,0.005588
5990,0.000011,0.000079,0.006077
6000,0.000028,0.000077,0.005609
6010,0.000014,0.000081,0.005331
6020,0.000021,0.000088,0.005429
6030,0.000015,0.000080,0.006566
6040,0.000012,0.000085,0.006217
6050,0.000011,0.000087,0.005922
6060,0.000020,0.000082,0.005693
6070,0.000028,0.000085,0.005477
6080,0.000011,0.000076,0.006373
6090,0.000011,0.000084,0.005504
6100,0.000055,0.000113,0.005453
6110,0.000012,0.000083,0.005617
6120,0.000014,0.000083,0.005628
6130,0.000024,0.000097,0.005599
6140,0.000032,0.000097,0.005832
6150,0.000014,0.000085,0.005552
6160,0.000012,0.000082,0.005606
6170,0.000014,0.000082,0.005887
6180,0.000013,0.000083,0.005659
6190,0.000012,0.000084,0.005768
6200,0.000012,0.000083,0.005604
6210,0.000032,0.000100,0.005567
6220,0.000012,0.000080,0.005655
6230,0.000034,0.000096,0.007970
6240,0.000011,0.000091,0.005847
6250,0.000017,0.000087,0.006345
6260,0.000044,0.000081,0.005683
6270,0.000013,0.000086,0.005598
6280,0.000011,0.000087,0.006653
6290,0.000028,0.000086,0.006684
6300,0.000012,0.000079,0.005850
6310,0.000012,0.000085,0.006052
6320,0.000026,0.000085,0.006464
6330,0.000042,0.000086,0.005829
6340,0.000012,0.000086,0.005751
6350,0.000035,0.000086,0.005942
6360,0.000014,0.000086,0.005998
6370,0.000034,0.000086,0.006287
6380,0.000028,0.000109,0.005810
6390,0.000033,0.000087,0.006640
6400,0.000014,0.000086,0.006961
6410,0.000012,0.000104,0.005904
6420,0.000012,0.000122,0.008960
6430,0.000031,0.000092,0.007254
6440,0.000058,0.000089,0.006773
6450,0.000014,0.000090,0.006044
6460,0.000011,0.000089,0.005917
6470,0.000018,0.000087,0.006444
6480,0.000011,0.000089,0.005919
6490,0.000012,0.000088,0.006756
6500,0.000013,0.000097,0.006057
6510,0.000012,0.000087,0.006117
6520,0.000022,0.000088,0.005941
6530,0.000034,0.000089,0.006112
6540,0.000016,0.000089,0.006558
6550,0.000051,0.000103,0.006456
6560,0.000013,0.000088,0.006046
6570,0.000011,0.000088,0.007016
6580,0.000028,0.000094,0.006264
6590,0.000013,0.000107,0.006128
